sku,product_family,warehouse,on_hand_qty,unit_cost,reorder_point,lead_time_days,last_received_date
NK-VL-1053,Valves,CA-LAX-01,104,16411.09,45,37,2024-09-28
NK-CP-1205,Cryogenic Pumps,TX-HOU-01,120,21738.81,22,56,2025-04-09
NK-VL-1264,Valves,OH-CLE-01,243,12287.74,12,64,2024-04-15
NK-CP-1427,Cryogenic Pumps,OH-CLE-01,370,20321.9,11,41,2025-01-21
NK-SL-1037,Seals & Bearings,OH-CLE-01,295,11584.92,65,110,2025-02-20
NK-SL-1420,Seals & Bearings,PA-PHL-01,153,6747.43,76,82,2026-06-19
NK-CM-1051,Compressors,TX-HOU-01,482,21812.97,36,81,2025-08-31
NK-CM-1040,Compressors,CA-LAX-01,409,21112.15,36,31,2024-07-13
NK-CM-1207,Compressors,TX-HOU-01,426,11993.34,57,42,2024-02-03
NK-MT-1336,Motors,OH-CLE-01,78,4201.46,84,99,2025-09-11
NK-CM-1118,Compressors,TX-HOU-02,222,4322.36,71,90,2024-10-03
NK-MT-1159,Motors,PA-PHL-01,211,1336.04,71,53,2025-09-29
NK-IN-1313,Instrumentation,CA-LAX-01,314,24454.71,40,88,2026-03-21
NK-IN-1362,Instrumentation,TX-HOU-01,305,11631.93,88,107,2026-03-05
NK-VL-1462,Valves,OH-CLE-01,481,9203.27,28,94,2025-08-22
NK-IN-1012,Instrumentation,TX-HOU-01,311,15560.07,73,100,2024-09-07
NK-IN-1399,Instrumentation,TX-HOU-02,390,6069.3,81,118,2026-03-17
NK-SL-1431,Seals & Bearings,OH-CLE-01,360,5017.33,35,77,2024-11-25
NK-SL-1365,Seals & Bearings,TX-HOU-01,293,23231.47,19,31,2024-01-20
NK-SL-1005,Seals & Bearings,PA-PHL-01,174,6813.99,32,104,2024-12-10
NK-CM-1091,Compressors,OH-CLE-01,286,14592.02,61,85,2026-04-14
NK-SL-1430,Seals & Bearings,TX-HOU-02,492,18168.34,100,103,2025-05-05
NK-CM-1062,Compressors,CA-LAX-01,22,95.34,21,88,2024-09-25
NK-VL-1340,Valves,PA-PHL-01,125,19716.52,92,58,2024-10-31
NK-MT-1347,Motors,CA-LAX-01,97,18698.49,68,72,2025-04-23
NK-MT-1162,Motors,TX-HOU-02,363,3887.42,75,8,2025-07-19
NK-MT-1364,Motors,OH-CLE-01,396,20609.94,23,112,2025-11-28
NK-MT-1056,Motors,TX-HOU-02,259,6503.66,49,119,2024-03-11
NK-CM-1246,Compressors,TX-HOU-02,66,9320.35,95,36,2025-05-27
NK-IN-1029,Instrumentation,PA-PHL-01,417,1703.62,73,105,2024-05-08
NK-CP-1404,Cryogenic Pumps,PA-PHL-01,67,12578.71,63,79,2024-02-29
